nurse_id,name,js_to_centroid
34921,Christina Jacobs,0.1890970930
47931,Bradley Mccann,0.2032813826
62116,David Galloway,0.2134670210
74398,Lauren Salinas,0.2171453536
36258,Lauren Wright,0.2202957363
20362,Angela Garcia,0.2241496360
82336,William Vasquez,0.2251555492
52677,Krista Jones,0.2530185780
46740,Jason Drake,0.2620673927
28978,Nathaniel Morse,0.3016716888
84362,Francisco Escobar,0.3119356995
81119,Mrs. Rachel Price MD,0.3367898965
53951,Melissa Welch,0.3592887166
30150,Michael White,0.3643068194
46630,Sara Lynn,0.3646491135
89525,Cindy Hernandez,0.3698372245
62617,Raymond Clark,0.3788676566
73765,Anthony Webb,0.3939149987
39245,Jessica Patel,0.4096669686
09040,Kevin Clay,0.4747731062
58489,Jeanne Rodriguez,0.4801966663
52773,Ian Garcia,0.5134595146
99412,Jaclyn Robinson,0.5515250982
