nurse_id,name,js_to_centroid
47931,Bradley Mccann,0.1218385372
34921,Christina Jacobs,0.1230528369
36258,Lauren Wright,0.1370930357
20362,Angela Garcia,0.1489826236
62116,David Galloway,0.1522175524
74398,Lauren Salinas,0.1622236457
46740,Jason Drake,0.1658777817
82336,William Vasquez,0.1686719819
52677,Krista Jones,0.1691108938
28978,Nathaniel Morse,0.1947818566
81119,Mrs. Rachel Price MD,0.2059271797
53951,Melissa Welch,0.2418183036
84362,Francisco Escobar,0.2425157271
46630,Sara Lynn,0.2466663439
89525,Cindy Hernandez,0.2681491108
30150,Michael White,0.2713374263
62617,Raymond Clark,0.2734944313
73765,Anthony Webb,0.2996165099
58489,Jeanne Rodriguez,0.3025684198
39245,Jessica Patel,0.3028186406
09040,Kevin Clay,0.3629706834
52773,Ian Garcia,0.3895510385
99412,Jaclyn Robinson,0.4889482748
